Sample	posterior	likelihood	prior	treeLikelihood.h3n2_2deme	treeHeight.t:h3n2_2deme	treeLength.t:h3n2_2deme	Tree.t:h3n2_2deme.length_HongKong	Tree.t:h3n2_2deme.length_NewZealand	Tree.t:h3n2_2deme.count_HongKong_to_NewZealand	Tree.t:h3n2_2deme.count_NewZealand_to_HongKong	Tree.t:h3n2_2deme.count_HongKong	Tree.t:h3n2_2deme.count_NewZealand	rootTypeLogger.t:h3n2_2deme	migModel.t:h3n2_2deme.popSize_HongKong	migModel.t:h3n2_2deme.popSize_NewZealand	migModel.t:h3n2_2deme.rateMatrix_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_NewZealand_HongKong	clockRate.c:h3n2_2deme	proportionInvariant.s:h3n2_2deme	kappa.s:h3n2_2deme	freqParameter.s:h3n2_2deme1	freqParameter.s:h3n2_2deme2	freqParameter.s:h3n2_2deme3	freqParameter.s:h3n2_2deme4	
8743000	-4602.738088053965	-4529.786653960248	-72.95143409371703	-4529.786653960248	6.552865506240156	38.15566797960755	28.22902912547466	9.926638854132873	0	10	39	20	0	1.3714711298597695	0.6744871749798196	0.001714360492901926	1.1858691104534536	0.004351630550046867	0.25481891518381816	7.463121057707267	0.3237493670894573	0.19235324317318173	0.22725921812906655	0.25663817160829494	
8744000	-4620.712716079843	-4541.5094293098755	-79.20328676996701	-4541.5094293098755	6.576914510837411	39.43536276668807	26.64333869412125	12.792024072566814	0	10	39	20	0	1.3599693454807371	0.7462994329938514	0.003018044174639579	1.1958984621116477	0.003880456319684761	0.25481891518381816	7.463121057707267	0.3237493670894573	0.19235324317318173	0.22725921812906655	0.25663817160829494	
8745000	-4597.602296611194	-4525.599839735102	-72.00245687609223	-4525.599839735102	6.534458946260784	38.52438925062293	27.39705392584619	11.127335324776741	0	10	39	20	0	1.5007444024551773	0.47937900248685983	0.0010389666122945875	0.8059670886413944	0.004184526164159454	0.4957153992229784	7.463121057707267	0.3237493670894573	0.19235324317318173	0.22725921812906655	0.25663817160829494	
8746000	-4605.76444137987	-4524.217713408608	-81.5467279712621	-4524.217713408608	7.102940045149434	41.671999478087905	31.5579696815065	10.114029796581397	0	10	39	20	0	1.929155328853441	0.5157032961587428	6.304401029006606E-4	0.6465674987687815	0.0041762001844589955	0.4957153992229784	5.722191627175195	0.3237493670894573	0.19235324317318173	0.22725921812906655	0.25663817160829494	
8747000	-4595.193695772261	-4521.891805813628	-73.3018899586332	-4521.891805813628	7.32429335476731	41.36156222431367	32.30509758954867	9.056464634764996	0	10	39	20	0	1.7162290579858934	0.33241388156613416	0.01149474467899544	0.956684303035138	0.0040113339566106064	0.464997131447028	7.469742711054652	0.3237493670894573	0.19235324317318173	0.22725921812906655	0.25663817160829494	
8748000	-4609.969011310597	-4530.967862432714	-79.00114887788266	-4530.967862432714	7.189846267688341	40.666787674453104	31.144221803823296	9.522565870629789	1	10	38	21	0	1.3583500535377964	0.549099275536969	0.06570367838196257	0.9563807707971566	0.004371817177082698	0.464997131447028	6.53612407107387	0.3237493670894573	0.19235324317318173	0.2005961310926173	0.28330125864474415	
8749000	-4610.105554030354	-4535.766407544454	-74.3391464859002	-4535.766407544454	7.07960076948366	40.45999785701903	30.93296004826602	9.527037808753015	0	10	39	20	0	1.3552806597586122	0.4042757217439406	0.012066487728732185	0.9585467496055158	0.004476539556149256	0.464997131447028	6.53612407107387	0.3182499256029363	0.19235324317318173	0.2060955725791383	0.28330125864474415	
8750000	-4597.30408469993	-4526.23379860082	-71.07028609911079	-4526.23379860082	7.137415348604394	40.647101163755124	30.54732843171331	10.099772732041803	0	9	38	21	0	1.4733634866557486	0.3543433106203974	0.0032493923616698926	0.9474315681573309	0.004283929377990505	0.464997131447028	7.205429779552771	0.3182499256029363	0.19235324317318173	0.2060955725791383	0.28330125864474415	
8751000	-4606.981535367458	-4530.194967602708	-76.78656776474958	-4530.194967602708	7.218525540646928	41.13910917684974	31.141758505093588	9.997350671756159	0	10	39	20	0	1.4670017835589584	0.5348226708750764	0.003263483462090897	1.4491684085408718	0.003934675842512095	0.464997131447028	6.8631870609859265	0.3182499256029363	0.19235324317318173	0.2060955725791383	0.28330125864474415	
8752000	-4601.214544775209	-4527.794010824384	-73.42053395082489	-4527.794010824384	7.067830926058654	39.60229500133811	29.06606037233236	10.536234629005765	0	10	39	20	0	1.1461676932303686	0.5396340038460294	0.013026485352304704	1.1084638244735667	0.004376175059664353	0.464997131447028	7.006632324212646	0.3182499256029363	0.18513499860045965	0.21331381715186037	0.28330125864474415	
