Sample	posterior	likelihood	prior	treeLikelihood.h3n2_2deme	treeHeight.t:h3n2_2deme	treeLength.t:h3n2_2deme	Tree.t:h3n2_2deme.length_HongKong	Tree.t:h3n2_2deme.length_NewZealand	Tree.t:h3n2_2deme.count_HongKong_to_NewZealand	Tree.t:h3n2_2deme.count_NewZealand_to_HongKong	Tree.t:h3n2_2deme.count_HongKong	Tree.t:h3n2_2deme.count_NewZealand	rootTypeLogger.t:h3n2_2deme	migModel.t:h3n2_2deme.popSize_HongKong	migModel.t:h3n2_2deme.popSize_NewZealand	migModel.t:h3n2_2deme.rateMatrix_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_NewZealand_HongKong	clockRate.c:h3n2_2deme	kappa.s:h3n2_2deme	gammaShape.s:h3n2_2deme	freqParameter.s:h3n2_2deme1	freqParameter.s:h3n2_2deme2	freqParameter.s:h3n2_2deme3	freqParameter.s:h3n2_2deme4
216000	-4611.24672558391	-4520.637854007871	-90.60887157603908	-4520.637854007871	6.70306485733806	39.32144027963855	24.007216634886824	15.314223644751722	6	12	35	24	0	0.8094822432828441	0.8903085216172504	0.18495283432623708	0.8130014376415944	0.004215413951596576	6.280551698237993	0.3234469348237304	0.33827296455655614	0.2027375165946521	0.20656576695194226	0.25242375189684974
217000	-4615.5548761514765	-4521.118379952959	-94.43649619851708	-4521.118379952959	6.802978703618305	41.36771998658059	26.31813309379006	15.049586892790526	7	13	35	24	0	1.2433851326859493	0.6615344858672698	0.15759579669588866	0.8097307042867672	0.004461240841853581	6.668892138737461	0.3234469348237304	0.33827296455655614	0.2027375165946521	0.20656576695194226	0.25242375189684974
218000	-4628.441485514374	-4538.045897861239	-90.39558765313554	-4538.045897861239	6.951811738093611	41.224928457405404	27.79246445905843	13.432463998346972	5	12	36	23	0	1.483220681828495	0.6582737850797864	0.15762797172884138	0.809896020320821	0.004326549345799515	6.668892138737461	0.3234469348237304	0.33827296455655614	0.2027375165946521	0.20656576695194226	0.25242375189684974
219000	-4619.948225513095	-4529.098598351982	-90.84962716111306	-4529.098598351982	6.783181697741378	40.33876181453878	27.93651573945238	12.402246075086406	5	12	36	23	0	1.4692894975025277	0.7691237630835951	0.3617916609951501	0.8486194531445846	0.0038289126599210838	6.668892138737461	0.3234469348237304	0.33827296455655614	0.2027375165946521	0.20656576695194226	0.25242375189684974
220000	-4618.298053871905	-4533.238315854859	-85.0597380170455	-4533.238315854859	6.787104876217514	39.184419093794446	25.84357105279041	13.340848041004037	8	11	33	26	1	1.3984349928970512	0.5882559442057644	0.42322627035322624	0.8428079818945207	0.004785083085754056	6.668892138737461	0.3234469348237304	0.33827296455655614	0.2027375165946521	0.20656576695194226	0.25242375189684974
221000	-4611.883011933746	-4531.01098433372	-80.8720276000254	-4531.01098433372	6.785169925741714	39.41482620208005	26.278329867338584	13.136496334741462	9	10	31	28	1	1.3957370025319973	0.33885381449687435	0.3015091760182003	0.8256020446227457	0.00406003637021342	6.668892138737461	0.3234469348237304	0.33827296455655614	0.2027375165946521	0.20656576695194226	0.25242375189684974
222000	-4623.53019074626	-4539.584280290243	-83.94591045601629	-4539.584280290243	6.773977895645663	39.62389308186068	26.379253771210585	13.2446393106501	10	9	29	30	1	1.6583015556168772	0.45197096782626334	0.42150575646570315	0.9165413626145592	0.004169790716623377	6.668892138737461	0.3234469348237304	0.33827296455655614	0.2027375165946521	0.20656576695194226	0.25242375189684974
223000	-4608.916157454752	-4525.400896805381	-83.51526064936998	-4525.400896805381	7.267306755791603	40.10514982690387	26.523005920015255	13.582143906888607	9	10	30	29	0	1.6568821006234766	0.34007611257694337	0.2840137782846497	0.4833113299632348	0.004576834708421639	8.32156688066635	0.3234469348237304	0.33827296455655614	0.20342276518072444	0.20588051836586993	0.25242375189684974
224000	-4603.842037331338	-4523.163494401168	-80.67854293017103	-4523.163494401168	6.820097339921157	38.79146182026671	28.052280656300344	10.739181163966366	3	10	36	23	0	1.6475155870224212	0.4556335611044132	0.17126850645164088	0.7172573502909507	0.004239649056072236	5.250920644940184	0.17883538915466993	0.33827296455655614	0.20342276518072444	0.20588051836586993	0.25242375189684974
225000	-4606.290192069918	-4523.164824523034	-83.12536754688331	-4523.164824523034	6.922221114394727	40.479021505559494	30.669746003739142	9.809275501820348	2	10	37	22	0	1.6648654441047037	0.26096871237937863	0.17214052429561838	0.6831715257862665	0.004110453544437225	7.673343554734388	0.17883538915466993	0.33827296455655614	0.20342276518072444	0.20588051836586993	0.25242375189684974
